Gene	description	family	hgnc_id	entrez_id	ensemble_id	location	pubmed_id	Vulnerable_Cell_lines_perc	Ribosomal_Proteins	DNA_replication	RNA_polymerase	Proteasome	Spliceosome	Histones	curated_BAGEL_essential	curated_BAGEL_nonEssential	ADM_PanCancer_CF	Vuln_CL_perc.Bone	Bone	Vuln_CL_perc.Breast	Breast	Vuln_CL_perc.Central.Nervous.System	Central.Nervous.System	Vuln_CL_perc.Endometrium	Endometrium	Vuln_CL_perc.Esophagus	Esophagus	Vuln_CL_perc.Haematopoietic.and.Lymphoid	Haematopoietic.and.Lymphoid	Vuln_CL_perc.Head.and.Neck	Head.and.Neck	Vuln_CL_perc.Large.Intestine	Large.Intestine	Vuln_CL_perc.Lung	Lung	Vuln_CL_perc.Ovary	Ovary	Vuln_CL_perc.Pancreas	Pancreas	Vuln_CL_perc.Peripheral.Nervous.System	Peripheral.Nervous.System	Vuln_CL_perc.Stomach	Stomach
RPS5	ribosomal protein S5	S ribosomal proteins	HGNC:10426	6193	ENSG00000083845	19q13.4	7772601|9582194	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS7	ribosomal protein S7	S ribosomal proteins	HGNC:10440	6201	ENSG00000171863	02p25.3	8522193|10625621	100	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RRM1	ribonucleotide reductase catalytic subunit M1		HGNC:10451	6240	ENSG00000167325	11p15.4	7557993	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SF3B3	splicing factor 3b subunit 3		HGNC:10770	23450	ENSG00000189091	16q22.1	10490618	100	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SF3B5	splicing factor 3b subunit 5		HGNC:21083	83443	ENSG00000169976	06q24.2	12234937	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SMU1	DNA replication regulator and spliceosomal factor	WD repeat domain containing	HGNC:18247	55234	ENSG00000122692	09p21.1	11438655|11410362	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SNRPA1	small nuclear ribonucleoprotein polypeptide A		HGNC:11152	6627	ENSG00000131876	15q26.3	2928112	100	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SNRPD3	small nuclear ribonucleoprotein D3 polypeptide		HGNC:11160	6634	ENSG00000100028	22q11.23	1701240|7527560	100	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SNRPE	small nuclear ribonucleoprotein polypeptide E		HGNC:11161	6635	ENSG00000182004	01q32.1	1835977|2143747	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SRSF3	serine and arginine rich splicing factor 3	RNA binding motif containing|Serine and arginine rich splicing factors	HGNC:10785	6428	ENSG00000112081	06p21.31-p21.2	1577277|20516191	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
THOC2	THO complex 2	X-linked mental retardation|THO complex	HGNC:19073	57187	ENSG00000125676	Xq25	11979277|15998806|26166480	100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
UBL5	ubiquitin like 5		HGNC:13736	59286	ENSG00000198258	19p13.2		100	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CDC16	cell division cycle 16	Anaphase promoting complex |Tetratricopeptide repeat domain containing	HGNC:1720	8881	ENSG00000130177	13q34	7736578	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CDC7	cell division cycle 7		HGNC:1745	8317	ENSG00000097046	01p22.1	9405610|9250678	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CDK1	cyclin dependent kinase 1	Cyclin dependent kinases	HGNC:1722	983	ENSG00000170312	10q21.2	3553962|19884882	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	97.0588235294118	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CHEK1	checkpoint kinase 1		HGNC:1925	1111	ENSG00000149554	11q24.2	9278511|9382850	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
CSE1L	chromosome segregation 1 like	Exportins	HGNC:2431	1434	ENSG00000124207	20q13.13	8963895|7479798	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
EFTUD2	elongation factor Tu GTP binding domain containing 2		HGNC:30858	9343	ENSG00000108883	17q21.31	9233818	99.6923076923077	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
EIF4A3	eukaryotic translation initiation factor 4A3	DEAD-box helicases|Exon junction complex	HGNC:18683	9775	ENSG00000141543	17q25.3	10623621|14730019	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
GINS1	GINS complex subunit 1	GINS complex	HGNC:28980	9837	ENSG00000101003	20p11.21	8724849|8786132	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	96.1538461538462	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
HIST1H2BB	histone cluster 1 H2B family member b	Histones	HGNC:4751	3018	ENSG00000276410	06p22.2	8227173|12408966	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
HNRNPK	heterogeneous nuclear ribonucleoprotein K		HGNC:5044	3190	ENSG00000165119	09q21.32	8107114	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	97.0588235294118	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
KIF11	kinesin family member 11	Kinesins	HGNC:6388	3832	ENSG00000138160	10q23.33	1505978|8548803	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated		HGNC:17162	23658	ENSG00000106355	07p14.3	10369684|10523320|12515382	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PLK1	polo like kinase 1		HGNC:9077	5347	ENSG00000166851	16p12.2	8127874	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	94.1176470588235	CF	100	CF
POLR2C	RNA polymerase II subunit C	RNA polymerase subunits	HGNC:9189	5432	ENSG00000102978	16q21	8034326	99.6923076923077	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
POLR2L	RNA polymerase II subunit L	RNA polymerase subunits	HGNC:9199	5441	ENSG00000177700	11p15.5	8786124	99.6923076923077	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PSMA2	proteasome subunit alpha 2	Proteasome	HGNC:9531	5683	ENSG00000106588	07p14.1	2025653|1888762	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	97.0588235294118	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
PSMC3	proteasome 26S subunit, ATPase 3	AAA ATPases|Proteasome	HGNC:9549	5702	ENSG00000165916	11p11.2	9048938|9473509	99.6923076923077	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	97.6190476190476	CF	100	CF	100	CF	100	CF	100	CF
PUF60	poly(U) binding splicing factor 60	RNA binding motif containing	HGNC:17042	22827	ENSG00000179950	08q24.3	10668799|10882074|17579712	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
RPL10A	ribosomal protein L10a	L ribosomal proteins	HGNC:10299	4736	ENSG00000198755	06p21.31	7609734|9647638	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	97.6190476190476	CF	100	CF	100	CF	100	CF	100	CF
RPL12	ribosomal protein L12	L ribosomal proteins	HGNC:10302	6136	ENSG00000197958	09q33.3	8441690	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	96	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL21	ribosomal protein L21	L ribosomal proteins	HGNC:10313	6144	ENSG00000122026	13q12.2	3459254|7772601	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
RPL27A	ribosomal protein L27a	L ribosomal proteins	HGNC:10329	6157	ENSG00000166441	11p15	7772601|9582194	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF
RPL31	ribosomal protein L31	L ribosomal proteins	HGNC:10334	6160	ENSG00000071082	02q11.2	2780320|11875025	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF
RPL32	ribosomal protein L32	L ribosomal proteins	HGNC:10336	6161	ENSG00000144713	03p25.2	9284913	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	96	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL36	ribosomal protein L36	L ribosomal proteins	HGNC:13631	25873	ENSG00000130255	19p13.2		99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	96	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPL37A	ribosomal protein L37a	L ribosomal proteins	HGNC:10348	6168	ENSG00000197756	02q35	1437567	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF
RPL6	ribosomal protein L6	L ribosomal proteins	HGNC:10362	6128	ENSG00000089009	12q24.13	8479925|8457378	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	97.6190476190476	CF	100	CF	100	CF	100	CF	100	CF
RPL8	ribosomal protein L8	L ribosomal proteins	HGNC:10368	6132	ENSG00000161016	08q24.3	7506540|9582194	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF
RPS12	ribosomal protein S12	S ribosomal proteins	HGNC:10385	6206	ENSG00000112306	06q23.2	1861993|9582194	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS28	ribosomal protein S28	S ribosomal proteins	HGNC:10418	6234	ENSG00000233927	19p13.2	8415000|9582194	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS3	ribosomal protein S3	S ribosomal proteins	HGNC:10420	6188	ENSG00000149273	11q13.4	1712897|7789996	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	96.1538461538462	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS6	ribosomal protein S6	S ribosomal proteins	HGNC:10429	6194	ENSG00000137154	09p22.1	1577483	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RPS8	ribosomal protein S8	S ribosomal proteins	HGNC:10441	6202	ENSG00000142937	01p34.1	8432552	99.6923076923077	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.875	CF	100	CF	100	CF	100	CF	100	CF	100	CF
RRM2	ribonucleotide reductase regulatory subunit M2		HGNC:10452	6241	ENSG00000171848	02p25.1		99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	97.0588235294118	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
SF3B14								99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	94.1176470588235	CF	100	CF
SNRPD2	small nuclear ribonucleoprotein D2 polypeptide		HGNC:11159	6633	ENSG00000125743	19q13.2-q13.3	7527560|1701240	99.6923076923077	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
SPC25	SPC25, NDC80 kinetochore complex component		HGNC:24031	57405	ENSG00000152253	02q31.1	12477932	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	96.7741935483871	CF	100	CF	100	CF	100	CF
TWISTNB	TWIST neighbor		HGNC:18027	221830	ENSG00000105849	07p21.1	12438708	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	97.6190476190476	CF	100	CF	100	CF	100	CF	100	CF
VCP	valosin containing protein	AAA ATPases	HGNC:12666	7415	ENSG00000165280	09p13.3	8595912|7553851	99.6923076923077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	100	CF	100	CF	100	CF	100	CF	100	CF	92.8571428571429	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF	100	CF
